"CBSA Code","CBSA","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"27940","Juneau, AK",".",".",".",".",".",".",".",".",".",".",".","29","9","."
"27980","Kahului-Wailuku-Lahaina, HI",".",".",".",".",".",".",".",".",".","8","3.9",".",".","."
"28020","Kalamazoo-Portage, MI",".",".",".",".","0.07","0.062",".",".",".","21","8.3",".",".","."
"28060","Kalispell, MT",".",".",".",".","0.07","0.056",".",".",".","23","8","59","18","."
"28140","Kansas City, MO-KS",".",".","51","16","0.09","0.071","6","2","1","20","8.4","91","33","."
"28300","Keene, NH",".",".",".",".","0.07","0.06",".",".",".","16","5.9",".",".","."
"28420","Kennewick-Richland, WA",".",".",".",".","0.08","0.067",".",".",".",".",".","105","19","."
"28660","Killeen-Temple, TX",".",".","23","3","0.08","0.071",".",".",".","20","7.7",".",".","."
"28700","Kingsport-Bristol-Bristol, TN-VA",".",".",".",".","0.08","0.065","56","14","2","15","6.3",".",".","0.24"
"28780","Kingsville, TX",".",".",".",".",".",".",".",".",".","22","8.6",".",".","."
"28820","Kinston, NC",".",".",".",".","0.07","0.061",".",".",".",".",".",".",".","."
"28900","Klamath Falls, OR",".",".",".",".",".",".",".",".",".","37","8.3",".",".","."
"28940","Knoxville, TN","0.6","0.3","4","1","0.08","0.067","2","1","0","19","8.7","44","16","0.05"
"29020","Kokomo, IN",".",".",".",".","0.07","0.066",".",".",".","15","6.8",".",".","."
"29060","Laconia, NH",".",".",".",".","0.07","0.058",".",".",".",".",".",".",".","."
"29100","La Crosse-Onalaska, WI-MN",".",".",".",".","0.07","0.059",".",".",".",".",".",".",".","."
"29180","Lafayette, LA",".",".",".",".","0.08","0.068",".",".",".","22","8.3",".",".","."
"29200","Lafayette-West Lafayette, IN",".",".",".",".","0.07","0.064",".",".",".","16","7",".",".","."
"29340","Lake Charles, LA",".",".","27","5","0.12","0.066","3","1","0","22","9","60","20","."
"29380","Lake City, FL",".",".",".",".","0.07","0.063",".",".",".",".",".",".",".","."
"29420","Lake Havasu City-Kingman, AZ",".",".",".",".",".",".",".",".",".",".",".","66","21","."
"29460","Lakeland-Winter Haven, FL",".",".",".",".","0.07","0.061","23","5","1",".",".",".",".","."
"29540","Lancaster, PA",".",".",".",".","0.08","0.067",".",".",".","21","7.9",".",".","."
"29620","Lansing-East Lansing, MI",".",".","31","6","0.07","0.061","3","2","1","16","6.6","47","14","."
"29660","Laramie, WY",".",".",".",".","0.08","0.074",".",".",".","8","1.9","254","36","."
"29700","Laredo, TX","3.2","1.6",".",".","0.08","0.071",".",".",".","26","9.1","53","26","."
"29740","Las Cruces, NM",".",".","48","7","0.1","0.078",".",".",".","34","9.7","546","55","."
"29820","Las Vegas-Henderson-Paradise, NV","2.9","2.6","51","20","0.09","0.075","5","3","1","31","9.2","162","36","."
"29980","Lawrenceburg, TN",".",".",".",".",".",".",".",".",".","16","7.2",".",".","."
"30020","Lawton, OK",".",".",".",".","0.09","0.073",".",".",".","15","6.6",".",".","."
"30140","Lebanon, PA",".",".",".",".","0.08","0.066",".",".",".","20","8",".",".","."
"30340","Lewiston-Auburn, ME",".",".",".",".","0.07","0.053",".",".",".","13","4.1",".",".","."
"30460","Lexington-Fayette, KY",".",".",".","7","0.07","0.062","3","2","0",".",".",".",".","."
"30620","Lima, OH",".",".",".",".","0.07","0.065",".",".",".","16","6.8",".",".","."
"30700","Lincoln, NE",".",".",".",".","0.07","0.059",".",".",".","26","8.1",".",".","."
"30780","Little Rock-North Little Rock-Conway, AR","1.4","1.4",".",".","0.08","0.062","8","2","0","31","10.9","42","18","."
"30860","Logan, UT-ID",".",".","30","5","0.08","0.068",".",".",".","32","7.2",".",".","."
"30980","Longview, TX",".",".","20","2","0.09","0.069","20","5","1",".",".",".",".","."
